AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      270    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      270    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      270    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      267    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      266    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      266    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    266/2    0.002    0.000    0.372    0.186 <frozen importlib._bootstrap>:664(_load_unlocked)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      254    0.002    0.000    0.135    0.001 re.py:288(_compile)
      250    0.000    0.000    0.135    0.001 re.py:249(compile)
      249    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      249    0.002    0.000    0.008    0.000 typing.py:1016(__init__)
      249    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      248    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      248    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
  240/238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      239    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      239    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
      239    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      239    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      239    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      239    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    239/2    0.001    0.000    0.372    0.186 <frozen importlib._bootstrap_external>:877(exec_module)
      239    0.003    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      239    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      239    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      231    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      211    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
  202/164    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      189    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
      189    0.000    0.000    0.007    0.000 sre_parse.py:97(closegroup)
      184    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      183    0.001    0.000    0.001    0.000 enum.py:986(__and__)
      183    0.001    0.000    0.009    0.000 sre_compile.py:560(_compile_info)
      183    0.000    0.000    0.046    0.000 sre_compile.py:622(_code)
      183    0.001    0.000    0.131    0.001 sre_compile.py:783(compile)
      183    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
      183    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      183    0.001    0.000    0.084    0.000 sre_parse.py:944(parse)
      181    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      181    0.001    0.000    0.002    0.000 typing_extensions.py:184(_collect_type_vars)
      173    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      168    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      160    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      158    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
      157    0.000    0.000    0.000    0.000 enum.py:801(value)
      157    0.000    0.000    0.000    0.000 types.py:176(__get__)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
   127/97    0.000    0.000    0.008    0.000 typing.py:401(__getitem__)
      123    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      121    0.002    0.000    0.003    0.000 sre_compile.py:516(_get_charset_prefix)
      120    0.000    0.000    0.000    0.000 typing_extensions.py:201(<listcomp>)
      115    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      115    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      115    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      114    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      111    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
      109    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      107    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      106    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      102    0.000    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
