('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         541098 function calls (522232 primitive calls) in 1.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      196    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       12    0.001    0.000    0.607    0.051 {method 'join' of 'bytes' objects}
     5582    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4090    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      183    0.001    0.000    0.002    0.000 enum.py:986(__and__)
     2817    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      383    0.001    0.000    0.002    0.000 __init__.py:620(object_was_parsed)
      202    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
      185    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      265    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
      183    0.001    0.000    0.113    0.001 sre_parse.py:944(parse)
      370    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     5483    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6097    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    185/3    0.001    0.000    0.391    0.130 <frozen importlib._bootstrap_external>:877(exec_module)
     2241    0.001    0.000    0.003    0.000 css_parser.py:305(match)
      185    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1220    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      384    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      104    0.001    0.000    0.606    0.006 response.py:1030(read_chunked)
       10    0.001    0.000    0.010    0.001 enum.py:553(<listcomp>)
        1    0.001    0.001    0.003    0.003 packages.py:1(<module>)
      891    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.001    0.001    0.001    0.001 connection.py:270(close)
      946    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       77    0.001    0.000    0.006    0.000 css_parser.py:450(parse_attribute_selector)
     2025    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      881    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
  212/208    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      383    0.001    0.000    0.002    0.000 element.py:943(__new__)
     1391    0.001    0.000    0.001    0.000 element.py:1543(get)
    186/1    0.001    0.000    1.950    1.950 {built-in method builtins.exec}
     1889    0.001    0.000    0.001    0.000 element.py:2062(descendants)
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       19    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      104    0.001    0.000    0.566    0.005 response.py:1008(_handle_chunk)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      415    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
     1667    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     3815    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1789    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      487    0.001    0.000    0.006    0.000 enum.py:359(__call__)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:1(<module>)
     1221    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      234    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.001    0.001    0.001    0.001 langgreekmodel.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      765    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      381    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
       73    0.000    0.000    0.005    0.000 typing.py:1016(__init__)
      183    0.000    0.000    0.060    0.000 sre_compile.py:622(_code)
      508    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
      196    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.001    0.001 langbulgarianmodel.py:1(<module>)
     1221    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1153    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
