AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.000    0.000    0.006    0.000 typing.py:483(Union)
      695    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
       18    0.000    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:1(<module>)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       84    0.000    0.000    0.009    0.000 dataclasses.py:412(_create_fn)
       97    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
  741/456    0.000    0.000    0.001    0.000 typing.py:1037(__hash__)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      455    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      248    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      183    0.000    0.000    0.044    0.000 sre_compile.py:622(_code)
  202/164    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 langbulgarianmodel.py:1(<module>)
      956    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      487    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      293    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
      270    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      115    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      183    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
      540    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       83    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      733    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      751    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
      359    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
  340/228    0.000    0.000    0.001    0.000 typing.py:1247(__hash__)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      828    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
       91    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      102    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      189    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
  240/238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      943    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      828    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      249    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      469    0.000    0.000    0.001    0.000 enum.py:678(__new__)
       49    0.000    0.000    0.001    0.000 dataclasses.py:722(_get_field)
      588    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
       43    0.000    0.000    0.001    0.000 typing.py:801(__init__)
      454    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       86    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
    320/2    0.000    0.000    0.333    0.167 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       66    0.000    0.000    0.003    0.000 typing.py:1138(__getitem__)
     1450    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1450    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       53    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      332    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      111    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
        1    0.000    0.000    0.005    0.005 mbcsgroupprober.py:1(<module>)
      314    0.000    0.000    0.000    0.000 typing_extensions.py:172(_should_collect_from_parameters)
      183    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       44    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      786    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
