('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         540742 function calls (521915 primitive calls) in 1.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
      383    0.000    0.000    0.000    0.000 __init__.py:523(string_container)
      740    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      911    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      771    0.000    0.000    0.000    0.000 socket.py:730(readable)
      235    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
  608/550    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      178    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
       97    0.000    0.000    0.015    0.000 response.py:431(_decode)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     2314    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      183    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
      216    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      112    0.000    0.000    0.342    0.003 client.py:624(_safe_read)
     1542    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      729    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
  186/185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1424(SoupSieve)
      386    0.000    0.000    0.001    0.000 _htmlparser.py:178(handle_data)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
    265/3    0.000    0.000    0.325    0.108 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       40    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       76    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
  144/138    0.000    0.000    0.005    0.000 typing.py:306(inner)
      183    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
     1171    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1171    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      109    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      387    0.000    0.000    0.000    0.000 __init__.py:773(handle_data)
       70    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
